Ref,Val,Package,PosX,PosY,Rot,Side
"C1","47uF/6V3","C_0805_2012Metric",80.2640,15.4940,180.0000,bottom
"C2","10uF","C_0805_2012Metric",80.2640,18.0340,180.0000,bottom
"C3","100nF","C_0805_2012Metric",74.6760,24.8920,-90.0000,bottom
"C4","10p","C_0805_2012Metric",76.3035,27.9400,180.0000,bottom
"C5","10uF","C_0805_2012Metric",80.2640,27.4320,180.0000,bottom
"C6","47uF/6V3","C_0805_2012Metric",80.2640,29.7180,180.0000,bottom
"C7","47uF/6V3","C_0805_2012Metric",80.2640,32.0040,180.0000,bottom
"F1","350mA","1812",75.6500,5.1000,-90.0000,bottom
"F2","350mA","1812",65.1660,72.8980,-90.0000,bottom
"F3","350mA","1812",84.3500,5.1000,-90.0000,bottom
"F4","350mA","1812",84.3660,72.8980,-90.0000,bottom
"F5","350mA","1812",15.7000,5.1000,-90.0000,bottom
"F6","350mA","1812",15.7660,72.8980,-90.0000,bottom
"F7","350mA","1812",35.0520,5.0800,-90.0000,bottom
"F8","350mA","1812",24.7660,72.8980,-90.0000,bottom
"F9","350mA","1812",54.3560,5.0800,-90.0000,bottom
"F10","350mA","1812",44.1660,72.8980,-90.0000,bottom
"F11","1,1A","1812",80.6450,37.3380,90.0000,bottom
"J1","SM04B-GHS-TB","JST_GH_SM04B-GHS-TB_1x04-1MP_P1.25mm_Horizontal",96.7740,7.8740,-90.0000,bottom
"J2","SM03B-GHS-TB","JST_GH_SM03B-GHS-TB_1x03-1MP_P1.25mm_Horizontal",96.7740,58.8010,-90.0000,bottom
"J3","SM03B-GHS-TB","JST_GH_SM03B-GHS-TB_1x03-1MP_P1.25mm_Horizontal",96.7740,50.2400,90.0000,bottom
"R1","560k","R_0805_2012Metric",76.3270,35.0520,0.0000,bottom
"R2","20k","R_0805_2012Metric",76.3270,32.7660,180.0000,bottom
"R3","100k","R_0805_2012Metric",76.3035,30.4800,0.0000,bottom
"X1","TPS63060","Texas_S-PWSON-N10_ThermalVias",78.9780,22.6550,90.0000,bottom
